XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20312
899.790547,-0.000104
900.272750,-0.000345
900.754953,0.000465
901.237156,0.000740
901.719359,0.001181
902.201562,0.001707
902.683764,0.000896
903.165967,-0.000021
903.648170,0.000723
904.130373,0.001260
904.612576,0.000764
905.094779,0.000509
905.576982,0.000819
906.059184,0.001761
906.541387,0.002077
907.023590,0.001319
907.505793,0.000194
907.987996,-0.000784
908.470199,-0.000588
908.952402,0.000701
909.434605,0.002376
909.916807,0.002568
910.399010,0.000833
910.881213,-0.000549
911.363416,-0.001262
911.845619,-0.000824
912.327822,0.000413
912.810025,0.000614
913.292227,0.000834
913.774430,0.001233
914.256633,0.000814
914.738836,0.000478
915.221039,0.000380
915.703242,-0.000053
916.185445,-0.000354
916.667648,-0.000157
917.149850,0.000082
917.632053,-0.000047
918.114256,-0.000610
918.596459,-0.000747
919.078662,0.000035
919.560865,0.000583
920.043068,0.001078
920.525270,0.001948
921.007473,0.001648
921.489676,0.000491
921.971879,0.000009
922.454082,0.000184
922.936285,0.000912
923.418488,0.000888
923.900690,-0.000190
924.382893,0.000137
924.865096,0.001284
925.347299,0.001632
925.829502,0.001700
926.311705,0.001273
926.793908,0.000740
927.276111,0.000510
927.758313,0.000295
928.240516,0.000108
928.722719,-0.000170
929.204922,0.000249
929.687125,0.000984
930.169328,0.000732
930.651531,0.000340
931.133733,0.000569
931.615936,0.000810
932.098139,0.000569
932.580342,0.000269
933.062545,0.000453
933.544748,0.000282
934.026951,-0.000822
934.509154,-0.001597
934.991356,-0.001118
935.473559,-0.000223
935.955762,-0.000116
936.437965,-0.000518
936.920168,-0.000242
937.402371,0.000293
937.884574,0.000141
938.366776,-0.000022
938.848979,0.000437
939.331182,0.000898
939.813385,0.000747
940.295588,0.000237
940.777791,-0.000008
941.259994,0.000324
941.742197,0.000654
942.224399,0.000468
942.706602,0.000031
943.188805,-0.000586
943.671008,-0.000729
944.153211,-0.000395
944.635414,-0.000122
945.117617,0.000763
945.599819,0.001222
946.082022,0.000842
946.564225,0.000963
947.046428,0.000785
947.528631,0.000276
948.010834,0.000100
948.493037,-0.000394
948.975240,-0.000702
949.457442,-0.000357
949.939645,-0.000200
950.421848,-0.000254
950.904051,0.000063
951.386254,0.000237
951.868457,0.000235
952.350660,0.000710
952.832862,0.000808
953.315065,0.000165
953.797268,0.000033
954.279471,0.000422
954.761674,0.000274
955.243877,0.000001
955.726080,0.000376
956.208282,0.000669
956.690485,0.000463
957.172688,0.000313
957.654891,0.000386
958.137094,0.000528
958.619297,0.000592
959.101500,0.000565
959.583703,0.000561
960.065905,0.000506
960.548108,0.000398
961.030311,0.000329
961.512514,0.000105
961.994717,-0.000264
962.476920,-0.000333
962.959123,-0.000235
963.441325,-0.000527
963.923528,-0.000740
964.405731,-0.000295
964.887934,0.000075
965.370137,0.000123
965.852340,0.000174
966.334543,-0.000097
966.816746,-0.000271
967.298948,0.000005
967.781151,0.000100
968.263354,0.000074
968.745557,0.000123
969.227760,0.000108
969.709963,0.000189
970.192166,0.000251
970.674368,0.000312
971.156571,0.000538
971.638774,0.000630
972.120977,0.000393
972.603180,-0.000290
973.085383,-0.000724
973.567586,-0.000190
974.049789,0.000127
974.531991,-0.000070
975.014194,0.000110
975.496397,0.000260
975.978600,0.000176
976.460803,0.000122
976.943006,0.000016
977.425209,-0.000036
977.907411,0.000076
978.389614,0.000162
978.871817,0.000089
979.354020,0.000045
979.836223,-0.000119
980.318426,-0.000344
980.800629,-0.000110
981.282831,0.000280
981.765034,0.000338
982.247237,0.000249
982.729440,0.000334
983.211643,0.000515
983.693846,0.000502
984.176049,0.000255
984.658252,-0.000055
985.140454,-0.000125
985.622657,0.000026
986.104860,0.000189
986.587063,0.000391
987.069266,0.000413
987.551469,0.000280
988.033672,0.000346
988.515874,0.000482
988.998077,0.000420
989.480280,0.000225
989.962483,0.000110
990.444686,0.000002
990.926889,-0.000111
991.409092,0.000030
991.891295,0.000208
992.373497,0.000165
992.855700,0.000160
993.337903,0.000286
993.820106,0.000212
994.302309,-0.000099
994.784512,-0.000192
995.266715,-0.000063
995.748917,0.000075
996.231120,0.000218
996.713323,0.000175
997.195526,-0.000009
997.677729,-0.000114
998.159932,-0.000097
998.642135,-0.000012
999.124338,-0.000058
999.606540,-0.000179
1000.088743,-0.000150
1000.570946,-0.000087
1001.053149,-0.000035
1001.535352,0.000104
1002.017555,0.000169
1002.499758,0.000207
1002.981960,0.000274
1003.464163,0.000089
1003.946366,-0.000117
1004.428569,0.000033
1004.910772,0.000204
1005.392975,0.000070
1005.875178,0.000048
1006.357381,0.000330
1006.839583,0.000401
1007.321786,0.000207
1007.803989,-0.000014
1008.286192,-0.000168
1008.768395,0.000013
1009.250598,0.000355
1009.732801,0.000407
1010.215003,0.000219
1010.697206,0.000040
1011.179409,-0.000013
1011.661612,0.000053
1012.143815,0.000132
1012.626018,0.000149
1013.108221,0.000043
1013.590423,-0.000040
1014.072626,0.000076
1014.554829,0.000162
1015.037032,0.000106
1015.519235,-0.000042
1016.001438,-0.000171
1016.483641,-0.000135
1016.965844,-0.000185
1017.448046,-0.000220
1017.930249,0.000079
1018.412452,0.000334
1018.894655,0.000266
1019.376858,0.000136
1019.859061,0.000027
1020.341264,-0.000098
1020.823466,0.000014
1021.305669,0.000190
1021.787872,0.000127
1022.270075,0.000160
1022.752278,0.000293
1023.234481,0.000305
1023.716684,0.000284
1024.198887,0.000211
1024.681089,0.000126
1025.163292,0.000127
1025.645495,0.000181
1026.127698,0.000153
1026.609901,0.000032
1027.092104,-0.000021
1027.574307,-0.000026
1028.056509,-0.000020
1028.538712,-0.000027
1029.020915,-0.000138
1029.503118,-0.000180
1029.985321,-0.000015
1030.467524,0.000142
1030.949727,0.000123
1031.431930,0.000061
1031.914132,0.000067
1032.396335,0.000032
1032.878538,-0.000085
1033.360741,-0.000212
1033.842944,-0.000220
1034.325147,-0.000087
1034.807350,-0.000104
1035.289552,-0.000214
1035.771755,-0.000167
1036.253958,-0.000187
1036.736161,-0.000253
1037.218364,-0.000214
1037.700567,-0.000187
1038.182770,-0.000087
1038.664973,0.000006
1039.147175,-0.000032
1039.629378,-0.000026
1040.111581,-0.000040
1040.593784,-0.000122
1041.075987,-0.000147
1041.558190,-0.000158
1042.040393,-0.000181
1042.522595,-0.000187
1043.004798,-0.000156
1043.487001,-0.000108
1043.969204,-0.000049
1044.451407,0.000062
1044.933610,0.000109
1045.415813,0.000004
1045.898015,-0.000169
1046.380218,-0.000279
1046.862421,-0.000223
1047.344624,-0.000132
1047.826827,-0.000103
1048.309030,-0.000063
1048.791233,0.000018
1049.273436,0.000142
1049.755638,0.000135
1050.237841,-0.000013
1050.720044,-0.000036
1051.202247,-0.000009
1051.684450,-0.000087
1052.166653,-0.000171
1052.648856,-0.000220
1053.131058,-0.000177
1053.613261,-0.000045
1054.095464,-0.000015
1054.577667,-0.000049
1055.059870,-0.000127
1055.542073,-0.000241
1056.024276,-0.000083
1056.506479,0.000032
1056.988681,-0.000137
1057.470884,-0.000038
1057.953087,0.000149
1058.435290,0.000078
1058.917493,0.000104
1059.399696,0.000209
1059.881899,0.000179
1060.364101,0.000083
1060.846304,0.000004
1061.328507,0.000083
1061.810710,0.000191
1062.292913,0.000128
1062.775116,0.000133
1063.257319,0.000066
1063.739522,-0.000159
1064.221724,-0.000095
1064.703927,-0.000009
1065.186130,-0.000083
1065.668333,-0.000041
1066.150536,-0.000028
1066.632739,-0.000011
1067.114942,0.000042
1067.597144,0.000092
1068.079347,0.000233
1068.561550,0.000231
1069.043753,0.000102
1069.525956,0.000108
1070.008159,0.000167
1070.490362,0.000188
1070.972564,0.000216
1071.454767,0.000202
1071.936970,0.000080
1072.419173,-0.000055
1072.901376,-0.000080
1073.383579,-0.000016
1073.865782,0.000130
1074.347985,0.000258
1074.830187,0.000190
1075.312390,0.000037
1075.794593,-0.000000
1076.276796,0.000123
1076.758999,0.000233
1077.241202,0.000148
1077.723405,0.000052
1078.205607,0.000034
1078.687810,-0.000039
1079.170013,-0.000114
1079.652216,-0.000086
1080.134419,-0.000047
1080.616622,-0.000084
1081.098825,0.000064
1081.581028,0.000287
1082.063230,0.000206
1082.545433,0.000051
1083.027636,-0.000036
1083.509839,-0.000020
1083.992042,0.000117
1084.474245,0.000114
1084.956448,0.000159
1085.438650,0.000274
1085.920853,0.000151
1086.403056,0.000055
1086.885259,0.000083
1087.367462,0.000129
1087.849665,0.000198
1088.331868,0.000110
1088.814071,0.000064
1089.296273,0.000199
1089.778476,0.000220
1090.260679,0.000197
1090.742882,0.000251
1091.225085,0.000179
1091.707288,-0.000041
1092.189491,-0.000141
1092.671693,-0.000054
1093.153896,-0.000009
1093.636099,0.000011
1094.118302,0.000120
1094.600505,0.000190
1095.082708,0.000182
1095.564911,0.000185
1096.047114,0.000189
1096.529316,0.000165
1097.011519,0.000104
1097.493722,-0.000009
1097.975925,-0.000101
1098.458128,-0.000081
1098.940331,0.000032
1099.422534,0.000082
1099.904736,0.000043
1100.386939,0.000068
1100.869142,0.000116
1101.351345,0.000125
1101.833548,0.000069
1102.315751,-0.000057
1102.797954,-0.000082
1103.280156,-0.000046
1103.762359,-0.000070
1104.244562,-0.000029
1104.726765,0.000083
1105.208968,0.000099
1105.691171,0.000062
1106.173374,0.000088
1106.655577,0.000043
1107.137779,-0.000083
1107.619982,-0.000103
1108.102185,0.000007
1108.584388,0.000102
1109.066591,0.000088
1109.548794,0.000066
1110.030997,0.000049
1110.513199,0.000004
1110.995402,0.000024
1111.477605,0.000122
1111.959808,0.000151
1112.442011,0.000016
1112.924214,-0.000039
1113.406417,0.000021
1113.888620,-0.000038
1114.370822,-0.000039
1114.853025,0.000054
1115.335228,0.000069
1115.817431,0.000095
1116.299634,0.000058
1116.781837,-0.000045
1117.264040,-0.000060
1117.746242,-0.000107
1118.228445,-0.000167
1118.710648,-0.000112
1119.192851,-0.000086
1119.675054,-0.000099
1120.157257,-0.000055
1120.639460,0.000023
1121.121663,0.000114
1121.603865,0.000145
1122.086068,0.000109
1122.568271,0.000055
1123.050474,0.000023
1123.532677,0.000076
1124.014880,0.000114
1124.497083,0.000051
1124.979285,-0.000004
1125.461488,-0.000022
1125.943691,-0.000102
1126.425894,-0.000164
1126.908097,-0.000107
1127.390300,-0.000057
1127.872503,-0.000089
1128.354706,-0.000086
1128.836908,-0.000024
1129.319111,-0.000047
1129.801314,-0.000096
1130.283517,-0.000109
1130.765720,-0.000179
1131.247923,-0.000130
1131.730126,0.000010
1132.212328,0.000045
1132.694531,0.000042
1133.176734,-0.000040
1133.658937,-0.000115
1134.141140,-0.000075
1134.623343,-0.000040
1135.105546,0.000041
1135.587748,0.000102
1136.069951,0.000047
1136.552154,0.000028
1137.034357,0.000047
1137.516560,0.000050
1137.998763,0.000052
1138.480966,0.000017
1138.963169,0.000006
1139.445371,0.000006
1139.927574,-0.000037
1140.409777,-0.000026
1140.891980,-0.000012
1141.374183,-0.000018
1141.856386,0.000015
1142.338589,-0.000038
1142.820791,-0.000111
1143.302994,-0.000066
1143.785197,-0.000021
1144.267400,-0.000041
1144.749603,-0.000049
1145.231806,-0.000014
1145.714009,-0.000029
1146.196212,-0.000075
1146.678414,-0.000056
1147.160617,-0.000050
1147.642820,-0.000063
1148.125023,-0.000031
1148.607226,-0.000007
1149.089429,0.000045
1149.571632,0.000112
1150.053834,0.000089
1150.536037,0.000035
1151.018240,0.000012
1151.500443,0.000004
1151.982646,-0.000011
1152.464849,-0.000044
1152.947052,-0.000083
1153.429255,-0.000105
1153.911457,-0.000029
1154.393660,0.000031
1154.875863,-0.000098
1155.358066,-0.000200
1155.840269,-0.000167
1156.322472,-0.000137
1156.804675,-0.000102
1157.286877,-0.000076
1157.769080,-0.000059
1158.251283,-0.000011
1158.733486,0.000031
1159.215689,0.000080
1159.697892,0.000098
1160.180095,0.000038
1160.662298,-0.000039
1161.144500,-0.000079
1161.626703,-0.000004
1162.108906,0.000096
1162.591109,0.000008
1163.073312,-0.000052
1163.555515,0.000109
1164.037718,0.000148
1164.519920,-0.000006
1165.002123,-0.000070
1165.484326,-0.000024
1165.966529,0.000016
1166.448732,-0.000006
1166.930935,-0.000033
1167.413138,-0.000029
1167.895340,-0.000051
1168.377543,-0.000058
1168.859746,-0.000035
1169.341949,-0.000025
1169.824152,0.000038
1170.306355,0.000148
1170.788558,0.000207
1171.270761,0.000187
1171.752963,0.000121
1172.235166,0.000109
1172.717369,0.000137
1173.199572,0.000080
1173.681775,-0.000006
1174.163978,-0.000028
1174.646181,-0.000042
1175.128383,-0.000120
1175.610586,-0.000202
1176.092789,-0.000149
1176.574992,-0.000009
1177.057195,0.000079
1177.539398,0.000062
1178.021601,0.000053
1178.503804,0.000129
1178.986006,0.000047
1179.468209,-0.000073
1179.950412,0.000018
1180.432615,0.000010
1180.914818,-0.000106
1181.397021,-0.000060
1181.879224,0.000005
1182.361426,-0.000026
1182.843629,-0.000063
1183.325832,-0.000060
1183.808035,-0.000042
1184.290238,-0.000047
1184.772441,-0.000007
1185.254644,0.000113
1185.736847,0.000107
1186.219049,-0.000040
1186.701252,-0.000065
1187.183455,-0.000068
1187.665658,-0.000142
1188.147861,-0.000060
1188.630064,0.000034
1189.112267,-0.000030
1189.594469,-0.000024
1190.076672,0.000078
1190.558875,0.000131
1191.041078,0.000143
1191.523281,0.000080
1192.005484,0.000009
1192.487687,0.000036
1192.969889,0.000018
1193.452092,0.000022
1193.934295,0.000128
1194.416498,0.000085
1194.898701,0.000014
1195.380904,0.000032
1195.863107,-0.000026
1196.345310,-0.000054
1196.827512,-0.000065
1197.309715,-0.000090
1197.791918,-0.000052
1198.274121,-0.000073
1198.756324,-0.000104
1199.238527,-0.000058
1199.720730,-0.000020
1200.202932,-0.000003
1200.685135,-0.000057
1201.167338,-0.000195
1201.649541,-0.000174
1202.131744,0.000009
1202.613947,0.000040
1203.096150,-0.000015
1203.578353,0.000009
1204.060555,0.000044
1204.542758,0.000055
1205.024961,0.000034
1205.507164,0.000042
1205.989367,0.000063
1206.471570,0.000020
1206.953773,-0.000022
1207.435975,-0.000021
1207.918178,0.000019
1208.400381,0.000037
1208.882584,0.000013
1209.364787,0.000003
1209.846990,-0.000028
1210.329193,-0.000036
1210.811396,0.000030
1211.293598,0.000083
1211.775801,0.000088
1212.258004,0.000083
1212.740207,0.000103
1213.222410,0.000140
1213.704613,0.000140
1214.186816,0.000073
1214.669018,-0.000034
1215.151221,-0.000088
1215.633424,-0.000016
1216.115627,0.000129
1216.597830,0.000204
1217.080033,0.000202
1217.562236,0.000211
1218.044439,0.000198
1218.526641,0.000168
1219.008844,0.000151
1219.491047,0.000116
1219.973250,0.000142
1220.455453,0.000229
1220.937656,0.000303
1221.419859,0.000417
1221.902061,0.000482
1222.384264,0.000442
1222.866467,0.000458
1223.348670,0.000490
1223.830873,0.000458
1224.313076,0.000442
1224.795279,0.000382
1225.277481,0.000342
1225.759684,0.000429
1226.241887,0.000513
1226.724090,0.000649
1227.206293,0.000814
1227.688496,0.000815
1228.170699,0.000729
1228.652902,0.000700
1229.135104,0.000820
1229.617307,0.000956
1230.099510,0.000987
1230.581713,0.001017
1231.063916,0.001074
1231.546119,0.001238
1232.028322,0.001422
1232.510524,0.001500
1232.992727,0.001611
1233.474930,0.001748
1233.957133,0.001831
1234.439336,0.001847
1234.921539,0.001877
1235.403742,0.002019
1235.885945,0.002160
1236.368147,0.002214
1236.850350,0.002240
1237.332553,0.002362
1237.814756,0.002573
1238.296959,0.002717
1238.779162,0.002835
1239.261365,0.002972
1239.743567,0.003015
1240.225770,0.003028
1240.707973,0.003117
1241.190176,0.003210
1241.672379,0.003297
1242.154582,0.003455
1242.636785,0.003652
1243.118988,0.003853
1243.601190,0.004112
1244.083393,0.004387
1244.565596,0.004521
1245.047799,0.004533
1245.530002,0.004605
1246.012205,0.004757
1246.494408,0.004914
1246.976610,0.005079
1247.458813,0.005217
1247.941016,0.005284
1248.423219,0.005338
1248.905422,0.005496
1249.387625,0.005737
1249.869828,0.005907
1250.352031,0.005984
1250.834233,0.006001
1251.316436,0.005995
1251.798639,0.006089
1252.280842,0.006222
1252.763045,0.006240
1253.245248,0.006140
1253.727451,0.005990
1254.209653,0.005792
1254.691856,0.005519
1255.174059,0.005332
1255.656262,0.005277
1256.138465,0.005087
1256.620668,0.004735
1257.102871,0.004477
1257.585073,0.004405
1258.067276,0.004504
1258.549479,0.004626
1259.031682,0.004497
1259.513885,0.004256
1259.996088,0.004187
1260.478291,0.004264
1260.960494,0.004364
1261.442696,0.004443
1261.924899,0.004775
1262.407102,0.005770
1262.889305,0.007734
1263.371508,0.009824
1263.853711,0.010016
1264.335914,0.008409
1264.818116,0.006795
1265.300319,0.005635
1265.782522,0.004859
